method,run_name,organ,site,n_seeds,seeds,dice_mean,dice_std,dice_mean_pm_std,msd_mm_mean,msd_mm_std,msd_mm_mean_pm_std,hd95_mm_mean,hd95_mm_std,hd95_mm_mean_pm_std
box_point,box50_point50,Bladder,pooled,3,"42,43,44",0.97348,0.006073,0.9735±0.0061,0.324209,0.085435,0.3242±0.0854,0.795178,0.250422,0.7952±0.2504
box_point,box50_point50,PTV,pooled,3,"42,43,44",0.978385,0.001489,0.9784±0.0015,0.235178,0.010449,0.2352±0.0104,0.57365,0.049698,0.5737±0.0497
box_point,box50_point50,Rectum,pooled,3,"42,43,44",0.9758,0.000181,0.9758±0.0002,0.194377,0.001725,0.1944±0.0017,0.442396,0.021428,0.4424±0.0214
box_point,box50_point50,Urethra,pooled,3,"42,43,44",0.928414,0.00248,0.9284±0.0025,0.209288,0.007535,0.2093±0.0075,0.462445,0.033892,0.4624±0.0339
box_point,box50_point50,all,pooled,3,"42,43,44",0.968718,0.001622,0.9687±0.0016,0.229115,0.017396,0.2291±0.0174,0.540027,0.06608,0.5400±0.0661
box_point,box90_point10,Bladder,pooled,3,"42,43,44",0.974852,0.002738,0.9749±0.0027,0.295459,0.049182,0.2955±0.0492,0.728645,0.154705,0.7286±0.1547
box_point,box90_point10,PTV,pooled,3,"42,43,44",0.979629,0.000969,0.9796±0.0010,0.222907,0.013175,0.2229±0.0132,0.531446,0.040227,0.5314±0.0402
box_point,box90_point10,Rectum,pooled,3,"42,43,44",0.975201,0.002366,0.9752±0.0024,0.205238,0.027001,0.2052±0.0270,0.448496,0.052799,0.4485±0.0528
box_point,box90_point10,Urethra,pooled,3,"42,43,44",0.929534,0.001291,0.9295±0.0013,0.204169,0.004501,0.2042±0.0045,0.43729,0.011118,0.4373±0.0111
box_point,box90_point10,all,pooled,3,"42,43,44",0.969275,0.001788,0.9693±0.0018,0.224144,0.022155,0.2241±0.0222,0.514905,0.05583,0.5149±0.0558
boxpoint_box_point,ratio_1_1_1_balanced,Bladder,pooled,3,"42,43,44",0.974838,0.000752,0.9748±0.0008,0.289656,0.012744,0.2897±0.0127,0.696717,0.037262,0.6967±0.0373
boxpoint_box_point,ratio_1_1_1_balanced,PTV,pooled,3,"42,43,44",0.979667,0.00048,0.9797±0.0005,0.218745,0.005337,0.2187±0.0053,0.522739,0.019045,0.5227±0.0190
boxpoint_box_point,ratio_1_1_1_balanced,Rectum,pooled,3,"42,43,44",0.976046,0.000294,0.9760±0.0003,0.190285,0.003045,0.1903±0.0030,0.425089,0.001657,0.4251±0.0017
boxpoint_box_point,ratio_1_1_1_balanced,Urethra,pooled,3,"42,43,44",0.933079,0.002946,0.9331±0.0029,0.192743,0.009977,0.1927±0.0100,0.411006,0.029346,0.4110±0.0293
boxpoint_box_point,ratio_1_1_1_balanced,all,pooled,3,"42,43,44",0.970165,0.000298,0.9702±0.0003,0.21456,0.00308,0.2146±0.0031,0.494462,0.006053,0.4945±0.0061
boxpoint_box_point,ratio_1_5_1_point_dom,Bladder,pooled,3,"42,43,44",0.948198,0.005088,0.9482±0.0051,0.682667,0.125547,0.6827±0.1255,1.484165,0.289612,1.4842±0.2896
boxpoint_box_point,ratio_1_5_1_point_dom,PTV,pooled,3,"42,43,44",0.958472,0.011266,0.9585±0.0113,0.415804,0.074265,0.4158±0.0743,0.982308,0.150054,0.9823±0.1501
boxpoint_box_point,ratio_1_5_1_point_dom,Rectum,pooled,3,"42,43,44",0.975521,0.000187,0.9755±0.0002,0.204481,0.011737,0.2045±0.0117,0.452634,0.031298,0.4526±0.0313
boxpoint_box_point,ratio_1_5_1_point_dom,Urethra,pooled,3,"42,43,44",0.913276,0.010504,0.9133±0.0105,0.247818,0.033064,0.2478±0.0331,0.56608,0.078844,0.5661±0.0788
boxpoint_box_point,ratio_1_5_1_point_dom,all,pooled,3,"42,43,44",0.956078,0.00203,0.9561±0.0020,0.350059,0.040356,0.3501±0.0404,0.793414,0.086281,0.7934±0.0863
boxpoint_box_point,ratio_2_3_5_prof,Bladder,pooled,3,"42,43,44",0.974434,0.002873,0.9744±0.0029,0.295405,0.025651,0.2954±0.0257,0.711999,0.080719,0.7120±0.0807
boxpoint_box_point,ratio_2_3_5_prof,PTV,pooled,3,"42,43,44",0.980348,0.001247,0.9803±0.0012,0.214726,0.014862,0.2147±0.0149,0.516881,0.042532,0.5169±0.0425
boxpoint_box_point,ratio_2_3_5_prof,Rectum,pooled,3,"42,43,44",0.975961,0.000733,0.9760±0.0007,0.190693,0.006145,0.1907±0.0061,0.429828,0.007776,0.4298±0.0078
boxpoint_box_point,ratio_2_3_5_prof,Urethra,pooled,3,"42,43,44",0.930686,0.004011,0.9307±0.0040,0.201678,0.01395,0.2017±0.0139,0.440813,0.041113,0.4408±0.0411
boxpoint_box_point,ratio_2_3_5_prof,all,pooled,3,"42,43,44",0.969909,0.001189,0.9699±0.0012,0.215711,0.008403,0.2157±0.0084,0.501389,0.029713,0.5014±0.0297
boxpoint_box_point,ratio_5_1_1_box_dom,Bladder,pooled,3,"42,43,44",0.972799,0.001061,0.9728±0.0011,0.337231,0.014333,0.3372±0.0143,0.836277,0.048863,0.8363±0.0489
boxpoint_box_point,ratio_5_1_1_box_dom,PTV,pooled,3,"42,43,44",0.977787,0.001416,0.9778±0.0014,0.242672,0.015765,0.2427±0.0158,0.600887,0.043558,0.6009±0.0436
boxpoint_box_point,ratio_5_1_1_box_dom,Rectum,pooled,3,"42,43,44",0.975953,0.001659,0.9760±0.0017,0.195743,0.016781,0.1957±0.0168,0.459647,0.024935,0.4596±0.0249
boxpoint_box_point,ratio_5_1_1_box_dom,Urethra,pooled,3,"42,43,44",0.935592,0.004325,0.9356±0.0043,0.187374,0.013458,0.1874±0.0135,0.415859,0.013947,0.4159±0.0139
boxpoint_box_point,ratio_5_1_1_box_dom,all,pooled,3,"42,43,44",0.969628,0.001012,0.9696±0.0010,0.230458,0.001616,0.2305±0.0016,0.55383,0.019763,0.5538±0.0198
epsilon_decay_per_organ,epsilon_decay_per_organ,Bladder,pooled,3,"42,43,44",0.975639,0.000766,0.9756±0.0008,0.287864,0.024498,0.2879±0.0245,0.706012,0.073955,0.7060±0.0740
epsilon_decay_per_organ,epsilon_decay_per_organ,PTV,pooled,3,"42,43,44",0.980545,0.000453,0.9805±0.0005,0.211584,0.004256,0.2116±0.0043,0.497642,0.008363,0.4976±0.0084
epsilon_decay_per_organ,epsilon_decay_per_organ,Rectum,pooled,3,"42,43,44",0.976363,0.000316,0.9764±0.0003,0.191321,0.002899,0.1913±0.0029,0.42072,0.001325,0.4207±0.0013
epsilon_decay_per_organ,epsilon_decay_per_organ,Urethra,pooled,3,"42,43,44",0.93199,0.001441,0.9320±0.0014,0.196153,0.005255,0.1962±0.0053,0.420523,0.007849,0.4205±0.0078
epsilon_decay_per_organ,epsilon_decay_per_organ,all,pooled,3,"42,43,44",0.970509,0.000604,0.9705±0.0006,0.212938,0.00505,0.2129±0.0050,0.487729,0.013699,0.4877±0.0137
epsilon_greedy_per_organ,epsilon_greedy_per_organ,Bladder,pooled,3,"42,43,44",0.976794,0.001103,0.9768±0.0011,0.26706,0.022236,0.2671±0.0222,0.654716,0.08064,0.6547±0.0806
epsilon_greedy_per_organ,epsilon_greedy_per_organ,PTV,pooled,3,"42,43,44",0.980668,0.0007,0.9807±0.0007,0.208492,0.00411,0.2085±0.0041,0.491306,0.011678,0.4913±0.0117
epsilon_greedy_per_organ,epsilon_greedy_per_organ,Rectum,pooled,3,"42,43,44",0.975153,0.001126,0.9752±0.0011,0.198398,0.012784,0.1984±0.0128,0.431289,0.019944,0.4313±0.0199
epsilon_greedy_per_organ,epsilon_greedy_per_organ,Urethra,pooled,3,"42,43,44",0.931092,0.001531,0.9311±0.0015,0.199571,0.004218,0.1996±0.0042,0.42909,0.009208,0.4291±0.0092
epsilon_greedy_per_organ,epsilon_greedy_per_organ,all,pooled,3,"42,43,44",0.970127,0.000425,0.9701±0.0004,0.212033,0.004748,0.2120±0.0047,0.483369,0.010545,0.4834±0.0105
medsam,pooled,Bladder,pooled,3,"42,43,44",0.962867,0.001916,0.9629±0.0019,0.429313,0.03847,0.4293±0.0385,1.017287,0.085408,1.0173±0.0854
medsam,pooled,PTV,pooled,3,"42,43,44",0.965513,0.002794,0.9655±0.0028,0.372855,0.026931,0.3729±0.0269,0.899322,0.093224,0.8993±0.0932
medsam,pooled,Rectum,pooled,3,"42,43,44",0.974214,0.001954,0.9742±0.0020,0.208565,0.006024,0.2086±0.0060,0.471818,0.015929,0.4718±0.0159
medsam,pooled,Urethra,pooled,3,"42,43,44",0.912006,0.006322,0.9120±0.0063,0.254492,0.015383,0.2545±0.0154,0.589265,0.052255,0.5893±0.0523
medsam,pooled,all,pooled,3,"42,43,44",0.95982,0.000849,0.9598±0.0008,0.301204,0.009041,0.3012±0.0090,0.708237,0.028265,0.7082±0.0283
nnunet,pooled,Bladder,pooled,3,"42,43,44",0.945524,0.010614,0.9455±0.0106,0.785019,0.130223,0.7850±0.1302,1.716444,0.221653,1.7164±0.2217
nnunet,pooled,PTV,pooled,3,"42,43,44",0.974684,0.002485,0.9747±0.0025,0.287947,0.022959,0.2879±0.0230,0.709296,0.061306,0.7093±0.0613
nnunet,pooled,Rectum,pooled,3,"42,43,44",0.985941,0.001013,0.9859±0.0010,0.119385,0.011046,0.1194±0.0110,0.303534,0.033536,0.3035±0.0335
nnunet,pooled,Urethra,pooled,3,"42,43,44",0.949719,0.012621,0.9497±0.0126,0.14878,0.039914,0.1488±0.0399,0.346096,0.083859,0.3461±0.0839
nnunet,pooled,all,pooled,3,"42,43,44",0.970548,0.004323,0.9705±0.0043,0.277009,0.03445,0.2770±0.0344,0.650257,0.075497,0.6503±0.0755
point,pooled,Bladder,pooled,3,"42,43,44",0.930002,0.013748,0.9300±0.0137,0.884776,0.125825,0.8848±0.1258,2.066815,0.213786,2.0668±0.2138
point,pooled,PTV,pooled,3,"42,43,44",0.952288,0.012141,0.9523±0.0121,0.467978,0.030195,0.4680±0.0302,1.149381,0.038858,1.1494±0.0389
point,pooled,Rectum,pooled,3,"42,43,44",0.973623,0.000958,0.9736±0.0010,0.221903,0.013237,0.2219±0.0132,0.491342,0.031763,0.4913±0.0318
point,pooled,Urethra,pooled,3,"42,43,44",0.897643,0.012749,0.8976±0.0127,0.326637,0.055451,0.3266±0.0555,0.804338,0.148312,0.8043±0.1483
point,pooled,all,pooled,3,"42,43,44",0.948193,0.003864,0.9482±0.0039,0.415876,0.016446,0.4159±0.0164,0.985946,0.026889,0.9859±0.0269
ucb1_global,ucb1_global,Bladder,pooled,3,"42,43,44",0.976666,0.001131,0.9767±0.0011,0.279351,0.013305,0.2794±0.0133,0.689265,0.04904,0.6893±0.0490
ucb1_global,ucb1_global,PTV,pooled,3,"42,43,44",0.980621,0.000736,0.9806±0.0007,0.210102,0.006872,0.2101±0.0069,0.497546,0.018659,0.4975±0.0187
ucb1_global,ucb1_global,Rectum,pooled,3,"42,43,44",0.975876,0.000577,0.9759±0.0006,0.191897,0.004053,0.1919±0.0041,0.4263,0.006734,0.4263±0.0067
ucb1_global,ucb1_global,Urethra,pooled,3,"42,43,44",0.929822,0.001725,0.9298±0.0017,0.203442,0.006871,0.2034±0.0069,0.440673,0.02016,0.4407±0.0202
ucb1_global,ucb1_global,all,pooled,3,"42,43,44",0.970159,0.000543,0.9702±0.0005,0.212574,0.005436,0.2126±0.0054,0.490497,0.013685,0.4905±0.0137
ucb1_per_organ,ucb1_per_organ,Bladder,pooled,3,"42,43,44",0.97712,0.000479,0.9771±0.0005,0.267671,0.009368,0.2677±0.0094,0.656135,0.021804,0.6561±0.0218
ucb1_per_organ,ucb1_per_organ,PTV,pooled,3,"42,43,44",0.980342,0.00012,0.9803±0.0001,0.214727,0.001584,0.2147±0.0016,0.510202,0.011258,0.5102±0.0113
ucb1_per_organ,ucb1_per_organ,Rectum,pooled,3,"42,43,44",0.975995,0.000563,0.9760±0.0006,0.193417,0.005983,0.1934±0.0060,0.423351,0.012093,0.4234±0.0121
ucb1_per_organ,ucb1_per_organ,Urethra,pooled,3,"42,43,44",0.932686,0.001465,0.9327±0.0015,0.193921,0.005698,0.1939±0.0057,0.41373,0.015489,0.4137±0.0155
ucb1_per_organ,ucb1_per_organ,all,pooled,3,"42,43,44",0.970639,0.000361,0.9706±0.0004,0.211358,0.002419,0.2114±0.0024,0.484204,0.006076,0.4842±0.0061
unet,pooled,Bladder,pooled,3,"42,43,44",0.945076,0.004498,0.9451±0.0045,0.824483,0.065675,0.8245±0.0657,2.24509,0.226834,2.2451±0.2268
unet,pooled,PTV,pooled,3,"42,43,44",0.965657,0.001213,0.9657±0.0012,0.38886,0.038079,0.3889±0.0381,0.95958,0.057984,0.9596±0.0580
unet,pooled,Rectum,pooled,3,"42,43,44",0.969969,0.007447,0.9700±0.0074,0.231148,0.029136,0.2311±0.0291,0.634271,0.017325,0.6343±0.0173
unet,pooled,Urethra,pooled,3,"42,43,44",0.90637,0.017983,0.9064±0.0180,0.341678,0.098401,0.3417±0.0984,1.176051,0.480868,1.1761±0.4809
unet,pooled,all,pooled,3,"42,43,44",0.954737,0.005466,0.9547±0.0055,0.387489,0.027737,0.3875±0.0277,1.064456,0.064499,1.0645±0.0645
